t_ms,test_id,motor_id,kv,prop,battery_s,esc_fw,pole_pairs,step_id,throttle_pct,step_time_s,is_steady,eRPM,RPM,V_bus_V,I_A,P_in_W,thrust_N,thrust_g,eff_g_per_W,eff_N_per_W,eff_g_per_A,bdshot_err_pct,notes
310718,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.002500,0.036947,-4.999393,-509.796173,NaN,NaN,NaN,NaN,OK
310818,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.002500,0.036947,-4.999393,-509.796173,NaN,NaN,NaN,NaN,OK
310918,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.002500,0.036947,-4.999347,-509.791534,NaN,NaN,NaN,NaN,OK
311018,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.780000,0.000000,0.000000,-4.999301,-509.786896,NaN,NaN,NaN,NaN,OK
311118,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.002500,0.036947,-4.999301,-509.786896,NaN,NaN,NaN,NaN,OK
311218,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.002500,0.036947,-4.999256,-509.782288,NaN,NaN,NaN,NaN,OK
311318,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.780000,0.000000,0.000000,-4.999211,-509.777649,NaN,NaN,NaN,NaN,OK
311418,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.780000,0.007500,0.110850,-4.999120,-509.768372,-4598.722656,-45.098061,NaN,NaN,OK
311518,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.780000,0.002500,0.036950,-4.999074,-509.763763,NaN,NaN,NaN,NaN,OK
311618,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.780000,0.000000,0.000000,-4.999074,-509.763763,NaN,NaN,NaN,NaN,OK
311718,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.007500,0.110841,-4.999074,-509.763763,-4599.069824,-45.101467,NaN,NaN,OK
311818,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.000000,0.000000,-4.999074,-509.763763,NaN,NaN,NaN,NaN,OK
311918,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.781250,0.005000,0.073906,-4.999029,-509.759125,NaN,NaN,NaN,NaN,OK
312018,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.005000,0.073894,-4.999029,-509.759125,NaN,NaN,NaN,NaN,OK
312118,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.002500,0.036947,-4.999029,-509.759125,NaN,NaN,NaN,NaN,OK
312218,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.005000,0.073894,-4.999029,-509.759125,NaN,NaN,NaN,NaN,OK
312318,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.002500,0.036947,-4.998984,-509.754486,NaN,NaN,NaN,NaN,OK
312418,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.005000,0.073894,-4.998984,-509.754486,NaN,NaN,NaN,NaN,OK
312518,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.002500,0.036947,-4.998984,-509.754486,NaN,NaN,NaN,NaN,OK
312618,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.780000,0.000000,0.000000,-4.998984,-509.754486,NaN,NaN,NaN,NaN,OK
312718,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,-0.002500,-0.036947,-4.998938,-509.749847,NaN,NaN,NaN,NaN,OK
312818,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.007500,0.110841,-4.998938,-509.749847,-4598.944336,-45.100235,NaN,NaN,OK
312918,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.005000,0.073894,-4.998938,-509.749847,NaN,NaN,NaN,NaN,OK
313018,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.002500,0.036947,-4.998984,-509.754486,NaN,NaN,NaN,NaN,OK
313118,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,-0.002500,-0.036947,-4.999029,-509.759125,NaN,NaN,NaN,NaN,OK
313218,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.780000,0.002500,0.036950,-4.999074,-509.763763,NaN,NaN,NaN,NaN,OK
313318,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.780000,0.002500,0.036950,-4.999120,-509.768372,NaN,NaN,NaN,NaN,OK
313418,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.780000,0.002500,0.036950,-4.999166,-509.773010,NaN,NaN,NaN,NaN,OK
313518,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.778750,0.002500,0.036947,-4.999256,-509.782288,NaN,NaN,NaN,NaN,OK
313618,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,0,0,0,14.780000,0.000000,0.000000,-4.999347,-509.791534,NaN,NaN,NaN,NaN,OK
313718,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.778750,0.002500,0.036947,-4.999438,-509.800812,NaN,NaN,NaN,NaN,OK
313818,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.780000,0.002500,0.036950,-4.999574,-509.814697,NaN,NaN,NaN,NaN,OK
313918,NA,NA,-1,NA,-1,NA,7,0,0.00,5.000,1,0,0,14.778750,0.002500,0.036947,-4.999711,-509.828583,NaN,NaN,NaN,NaN,OK
